Empresa ,Razão Social,CNPJ,Capital Social,Intervalo de capital,Segmento,Funcionários,Intervalo de Funcionários,Localização,Linkedin,Uniue Segmento,Contagem de Segmento,Top Segmento,,,,,,,,,,job_industry_collection,job_functions_collection
Ativa Investimentos,"ATIVA INVESTIMENTOS S/A CORRETORA DE TITULOS, CAMBIO E VALORES",33.775.974/0001-04,"43,186,643.17",10 – 100 milhões,Corretoras de títulos e valores mobiliários,237.00,201–500,"Rio de Janeiro, RJ",https://www.linkedin.com/jobs/view/est%25C3%25A1gio-recursos-humanos-at-ativa-investimentos-4223634375,Sociedade seguradora de seguros não vida,1,"Fabricação de aparelhos de recepção, reprodução, gravação e amplificação de áudio e vídeo",1,,,,,,,,,[{'job_industry_list': {'industry': 'Banking and Financial Services'}}],"['Administrative, Human Resources, and Other']"
CIEE-RS,CENTRO DE INTEGRACAO EMPRESA ESCOLA DO RS,92.954.957/0001-95,0.00,Até 100 mil,Atividades de associações de defesa de direitos sociais,"1,164.00",1001-5000,"Porto Alegre, RS",https://www.linkedin.com/jobs/view/assistente-opera%25C3%25A7%25C3%25B5es-pcd-at-ciee-rs-4222644301,Holdings de instituições financeiras,1,Sociedade seguradora de seguros não vida,1,,,,,,,,,[{'job_industry_list': {'industry': 'Business Consulting and Services'}}],['Management and Manufacturing']
Atacadão,ATACADAO S.A.,75.315.333/0001-09,"17,304,241,526.26",Acima de 1 bilhão,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - hipermercados","58,645.00",+10000,"São Paulo, SP",https://www.linkedin.com/jobs/view/analista-de-recursos-humanos-atacad%25C3%25A3o-ananindeua-pa-at-atacad%25C3%25A3o-4222642494,Fabricação de açúcar em bruto,1,Holdings de instituições financeiras,1,,,,,,,,,[{'job_industry_list': {'industry': 'Retail Groceries'}}],['Human Resources']
AM Foods,AM FOODS ALIMENTOS LTDA,05.364.818/0001-07,"50,000.00",Até 100 mil,Restaurantes e similares,28.00,11–50,"Porto Alegre, Rio Grande do Sul",https://www.linkedin.com/jobs/view/est%25C3%25A1gio-recrutamento-e-sele%25C3%25A7%25C3%25A3o-at-am-foods-4224565609,Cooperativas de crédito mútuo,1,Fabricação de açúcar em bruto,1,,,,,,,,,[{'job_industry_list': {'industry': 'Investment Banking'}}],['Human Resources']
Tirolez,LEGRAND PHARMA INDUSTRIA FARMACEUTICA LTDA,55.885.321/0001-02,"137,843.00",100 mil – 1 milhão,Fabricação de medicamentos alopáticos para uso humano,"1,473.00",1001-5000,,https://www.linkedin.com/jobs/view/comprador-a-jr-at-tirolez-4220828113,Consultoria em tecnologia da informação,2,Cooperativas de crédito mútuo,1,,,,,,,,,[{'job_industry_list': {'industry': 'Food and Beverage Manufacturing'}}],['Other']
R3 Suprimentos,R3 SUPRIMENTOS CORPORATIVOS LTDA,10.641.901/0001-16,"100,000.00",Até 100 mil,Comércio atacadista de produtos alimentícios em geral,96.00,51–200,"Goiânia, Goiás",https://www.linkedin.com/jobs/view/analista-de-rh-pleno-especialista-em-t-d-e-feedback-1-1%250Agoi%25C3%25A2nia-go%250Aefetivo-at-r3-suprimentos-4223954491,Condomínios prediais,1,Condomínios prediais,1,,,,,,,,,[{'job_industry_list': {'industry': 'Wholesale'}}],['Human Resources']
Open English,OPEN ENGLISH LLC,16.621.630/0001-13,0.00,Até 100 mil,********,"3,326.00",1001-5000,"Coral Gables, Florida",https://www.linkedin.com/jobs/view/aprendiz-recrutamento-e-sele%25C3%25A7%25C3%25A3o-at-open-english-4223939488,Fabricação de embalagens de cartolina e papel-cartão,1,Fabricação de embalagens de cartolina e papel-cartão,1,,,,,,,,,[{'job_industry_list': {'industry': 'E-Learning Providers'}}],"['Administrative, Human Resources, and Other']"
Escola Villare,ESCOLA VILLARE LTDA,05.607.295/0001-82,"10,000.00",Até 100 mil,********,192.00,51–200,"São Caetano do Sul, São Paulo",https://www.linkedin.com/jobs/view/estagi%25C3%25A1rios-ber%25C3%25A7%25C3%25A1rio-at-escola-villare-4218897210,Comércio varejista de mercadorias em lojas de conveniência,1,Comércio varejista de mercadorias em lojas de conveniência,1,,,,,,,,,[{'job_industry_list': {'industry': 'Education Administration Programs'}}],['Other']
ISAC,INSTITUTO SAUDE E CIDADANIA - ISAC,14.702.257/0001-08,0.00,Até 100 mil,"Atividades de atendimento hospitalar, exceto pronto-socorro e unidades para atendimento a urgências",164.00,51–200,,https://www.linkedin.com/jobs/view/coordenador-de-recursos-humanos-at-isac-4218832562,,,,,,,,,,,,,[{'job_industry_list': {'industry': 'Human Resources Services'}}],['Human Resources']
Docket,"R.P.D. - DOCUMENTOS, APOIO EMPRESARIAL E NEGOCIOS LTDA",23.522.710/0001-87,"137,297,427.00",100 milhões – 1 bilhão,Desenvolvimento e licenciamento de programas de computador não-customizáveis,147.00,51–200,"São Paulo, São Paulo",https://www.linkedin.com/jobs/view/estagi%25C3%25A1rio-a-de-m%25C3%25ADdia-paga-at-docket-4204346185,,,,,,,,,,,,,[{'job_industry_list': {'industry': 'Software Development'}}],['Other']
ExitLag,EXITLAG HOLDING LLC,55.259.053/0001-13,0.00,Até 100 mil,Holdings de instituições não-financeiras,144.00,51–200,"Orlando, Florida",https://www.linkedin.com/jobs/view/creative-specialist-at-exitlag-4204335378,,,,,,,,,,,,,[{'job_industry_list': {'industry': 'Software Development'}}],['Marketing and Sales']
Vast Infraestrutura,VAST INFRAESTRUTURA S.A.,21.778.678/0001-70,"110,915,269.19",100 milhões – 1 bilhão,Organização logística do transporte de carga,123.00,51–200,"São João da Barra, Rio de Janeiro",https://www.linkedin.com/jobs/view/coordenador-de-sms-at-vast-infraestrutura-4218205913,,,,,,,,,,,,,[{'job_industry_list': {'industry': 'Oil and Gas'}}],['Other']
Smart Fit,SMARTFIT ESCOLA DE GINASTICA E DANCA S.A,07.594.978/0001-78,"3,147,667,884.00",Acima de 1 bilhão,Atividades de condicionamento físico,"12,198.00",+10000,São Paulo,https://www.linkedin.com/jobs/view/estagi%25C3%25A1rio-em-an%25C3%25A1lise-de-dados-437227-at-smart-fit-4204330747,,,,,,,,,,,,,[{'job_industry_list': {'industry': 'Wellness and Fitness Services'}}],['Education and Training']
Sicredi,CONFEDERACAO DAS COOPERATIVAS DO SICREDI - CONFEDERACAO SICREDI,03.795.072/0001-60,0.00,Até 100 mil,Serviços combinados de escritório e apoio administrativo,"19,658.00",+10000,"Porto Alegre, Rio Grande do Sul",https://www.linkedin.com/jobs/view/gerente-de-neg%25C3%25B3cios-pessoa-f%25C3%25ADsica-sicredi-sul-minas-rs-mg-oliveira-mg-at-sicredi-4219851683,,,,,,,,,,,,,[{'job_industry_list': {'industry': 'Financial Services'}}],['Sales and Business Development']
ZAMP,ZAMP S.A.,13.574.594/0001-96,"1,911,068,419.57",Acima de 1 bilhão,"Lanchonetes, casas de chá, de sucos e similares","10,344.00",+10000,Barueri,https://www.linkedin.com/jobs/view/analista-de-experi%25C3%25AAncia-do-cliente-e-sac-%25E2%2580%2593-j%25C3%25BAnior-at-zamp-4219833427,,,,,,,,,,,,,[{'job_industry_list': {'industry': 'Restaurants'}}],['Other']
Aviva,AVIVA PARTICIPACOES LTDA,47.630.117/0001-12,"100,000.00",Até 100 mil,Holdings de instituições não-financeiras,"1,173.00",1001-5000,"RIO QUENTE , GOIAS",https://www.linkedin.com/jobs/view/monitor-de-lazer-i-at-aviva-4216743387,,,,,,,,,,,,,[{'job_industry_list': {'industry': 'Travel Arrangements'}}],['Other']
Amanco Wavin,MEXICHEM BRASIL INDUSTRIA DE TRANSFORMACAO PLASTICA LTDA,58.514.928/0001-74,"543,112,828.00",100 milhões – 1 bilhão,Fabricação de tubos e acessórios de material plástico para uso na construção,"2,629.00",1001-5000,"São Paulo, São Paulo",https://www.linkedin.com/jobs/view/est%25C3%25A1gio-acad%25C3%25AAmico-gest%25C3%25A3o-de-recursos-humanos-psicologia-e-administra%25C3%25A7%25C3%25A3o-at-amanco-wavin-4211147577,,,,,,,,,,,,,[{'job_industry_list': {'industry': 'Construction'}}],['Education and Training']
Suporte ERP,SUPORTE ERP ATENDIMENTOS EM TECNOLOGIA DA INFORMACAO LTDA,41.610.625/0001-52,"30,000.00",Até 100 mil,"Suporte técnico, manutenção e outros serviços em tecnologia da informação",3.00,0–10,"Belém, Pará",https://www.linkedin.com/jobs/view/t%25C3%25A9cnico-de-servi%25C3%25A7os-pleno-at-suporte-erp-4210871817,,,,,,,,,,,,,[{'job_industry_list': {'industry': 'Software Development'}}],['Information Technology']
Blip,CURUPIRA S.A,04.413.729/0001-40,"713,441,552.00",100 milhões – 1 bilhão,Desenvolvimento e licenciamento de programas de computador customizáveis,"1,500.00",1001-5000,"Belo Horizonte, MG",https://www.linkedin.com/jobs/view/analista-de-controladoria-pleno-at-blip-4208475158,,,,,,,,,,,,,[{'job_industry_list': {'industry': 'IT Services and IT Consulting'}}],['Other']
Obras Sociais Irmã Dulce,ASSOCIACAO OBRAS SOCIAIS IRMA DULCE,15.178.551/0001-17,0.00,Até 100 mil,"Atividades de atendimento hospitalar, exceto pronto-socorro e unidades para atendimento a urgências","2,737.00",1001-5000,"Salvador, Bahia",https://www.linkedin.com/jobs/view/assistente-administrativo-i-recursos-humanos-at-obras-sociais-irm%25C3%25A3-dulce-4208470695,,,,,,,,,,,,,[{'job_industry_list': {'industry': 'Wellness and Fitness Services'}}],['Other']
Creditas,CREDITAS SOLUCOES FINANCEIRAS LTDA.,17.770.708/0001-24,"4,303,558,752.00",Acima de 1 bilhão,"Atividades de intermediação e agenciamento de serviços e negócios em geral, exceto imobiliários","2,323.00",1001-5000,"São Paulo, São Paulo",https://www.linkedin.com/jobs/view/inside-sales-autofin-at-creditas-4208344032,,,,,,,,,,,,,[{'job_industry_list': {'industry': 'Financial Services'}}],['Sales and Business Development']
Certisign,CERTISIGN CERTIFICADORA DIGITAL S.A,01.554.285/0001-75,"63,878,609.50",10 – 100 milhões,Desenvolvimento de programas de computador sob encomenda,631.00,501–1000,"São Paulo, SP",https://www.linkedin.com/jobs/view/analista-de-desenvolvimento-humano-e-performance-sr-at-certisign-4207345078,,,,,,,,,,,,,[{'job_industry_list': {'industry': 'IT Services and IT Consulting'}}],['Other']
VIC Engenharia,VIC ENGENHARIA S/A,12.086.678/0001-18,"21,200,000.00",10 – 100 milhões,Construção de edifícios,560.00,501–1000,"Belo Horizonte, Minas Gerais",https://www.linkedin.com/jobs/view/assistente-de-recursos-humanos-at-vic-engenharia-4206294986,,,,,,,,,,,,,[{'job_industry_list': {'industry': 'Civil Engineering'}}],['Human Resources']
Ivox Marketing Direto,IVOX MARKETING DIRETO S/A,36.445.042/0001-83,"10,000.00",Até 100 mil,"Portais, provedores de conteúdo e outros serviços de informação na internet",25.00,11–50,"Belo Horizonte, MG",https://www.linkedin.com/jobs/view/analista-de-rh-generalista-foco-dp-unidade-belo-horizonte-at-ivox-marketing-direto-4205035853,,,,,,,,,,,,,[{'job_industry_list': {'industry': 'Advertising Services'}}],['Human Resources']
Bisutti,BISUTTI COMERCIO E DISTRIBUIDORA LTDA,53.560.163/0001-95,"5,000.00",Até 100 mil,Comércio varejista de produtos saneantes domissanitários,370.00,201–500,"São Paulo, SP",https://www.linkedin.com/jobs/view/analista-atra%25C3%25A7%25C3%25A3o-de-talentos-jr-at-bisutti-4204936456,,,,,,,,,,,,,[{'job_industry_list': {'industry': 'Consumer Services'}}],['Other']
Gear SEO,GEARSEO MARKETING DIGITAL E SERVICOS LTDA,21.399.903/0001-67,"50,000.00",Até 100 mil,"Portais, provedores de conteúdo e outros serviços de informação na internet",57.00,51–200,"São Paulo, SP",https://www.linkedin.com/jobs/view/pessoa-estagi%25C3%25A1ria-em-rh-banco-de-talentos-ag%25C3%25AAncia-especializada-em-seo-para-sua-empresa-at-gear-seo-4199117873,,,,,,,,,,,,,[{'job_industry_list': {'industry': 'Advertising Services'}}],['Education and Training']
BPO4u,BPO4U ASSESSORIA E CONSULTORIA LTDA,34.779.754/0001-03,"10,000.00",Até 100 mil,Atividades de contabilidade,17.00,11–50,"Curitiba, Paraná",https://www.linkedin.com/jobs/view/estagi%25C3%25A1rio-de-rh-at-bpo4u-4198119074,,,,,,,,,,,,,[{'job_industry_list': {'industry': 'Accounting'}}],['Human Resources']
TE Connectivity,TE CONNECTIVITY BRASIL INDUSTRIA DE ELETRONICOS LTDA,00.907.845/0015-60,"279,087,437.00",100 milhões – 1 bilhão,"Fabricação de material elétrico e eletrônico para veículos automotores, exceto baterias","39,676.00",+10000,Galway,https://www.linkedin.com/jobs/view/analista-de-talent-acquisition-sr-vaga-tempor%25C3%25A1ria-at-te-connectivity-4212368194,,,,,,,,,,,,,"[{'job_industry_list': {'industry': 'Appliances, Electrical, and Electronics Manufacturing'}}]",['Human Resources']
Riachuelo,LOJAS RIACHUELO SA,33.200.056/0001-49,"4,238,448,788.42",Acima de 1 bilhão,Comércio varejista de artigos do vestuário e acessórios,"32,143.00",+10000,"São Paulo, São Paulo",https://www.linkedin.com/jobs/view/vendedor-carters-vila-velha-es-at-riachuelo-4211296906,,,,,,,,,,,,,[{'job_industry_list': {'industry': 'Retail'}}],['Other']
Rock Encantech,ROCK ENCANTECH S.A.,55.407.980/0001-33,"207,264,442.00",100 milhões – 1 bilhão,"Portais, provedores de conteúdo e outros serviços de informação na internet",211.00,201–500,São Paulo,https://www.linkedin.com/jobs/view/gerente-de-pessoas-rh-at-rock-encantech-4211261583,,,,,,,,,,,,,"[{'job_industry_list': {'industry': 'Technology, Information and Internet'}}]",['Human Resources']
Hub  Floripa,HUB FLORIPA PARTICIPACOES LTDA,44.992.181/0001-55,"10,000.00",Até 100 mil,Holdings de instituições não-financeiras,28.00,11–50,"Florianópolis , Santa Catarina",https://www.linkedin.com/jobs/view/est%25C3%25A1gio-em-engenharia-civil-at-hub-floripa-4206112065,,,,,,,,,,,,,[{'job_industry_list': {'industry': 'Information Technology & Services'}}],['Engineering']
GoodStorage,GOODSTORAGE HOLDING PARTICIPACOES S.A.,18.897.459/0001-03,"300,193,687.00",100 milhões – 1 bilhão,Holdings de instituições não-financeiras,136.00,51–200,São Paulo,https://www.linkedin.com/jobs/view/analista-de-gente-gest%25C3%25A3o-pl-at-goodstorage-4197535851,,,,,,,,,,,,,[{'job_industry_list': {'industry': 'Real Estate'}}],['Other']
Rensz Calçados,RENSZ CALCADOS LTDA,03.893.411/0001-41,"200,000.00",100 mil – 1 milhão,Comércio varejista de calçados,168.00,51–200,"Caraguatatuba, São Paulo",https://www.linkedin.com/jobs/view/operador-a-de-caixa-major-ayres-caraguatatuba-sp-at-rensz-cal%25C3%25A7ados-4196936293,,,,,,,,,,,,,[{'job_industry_list': {'industry': 'Retail'}}],['Other']
KBL Accounting,KBL ACCOUNTING CONTABILIDADE EMPRESARIAL LTDA,09.238.316/0001-90,"94,000.00",Até 100 mil,Atividades de contabilidade,115.00,51–200,"Goiânia, Goiás",https://www.linkedin.com/jobs/view/assistente-cont%25C3%25A1bil-goi%25C3%25A2nia-at-kbl-accounting-4200215233,,,,,,,,,,,,,[{'job_industry_list': {'industry': 'Accounting'}}],['Other']
Fadami - Software & Innovation,FADAMI SOLUCOES DE INFORMATICA LTDA,14.286.510/0001-81,"5,810,000.00",1 – 10 milhões,"Suporte técnico, manutenção e outros serviços em tecnologia da informação",96.00,51–200,"Rio de Janeiro, RJ",https://www.linkedin.com/jobs/view/analista-de-desenvolvimento-full-stack-pleno-at-fadami-software-innovation-4191618999,,,,,,,,,,,,,[{'job_industry_list': {'industry': 'IT Services and IT Consulting'}}],['Other']
EMPREGARE.com,HERO TECNOLOGIA LTDA,23.073.946/0001-83,"460,000.00",100 mil – 1 milhão,Desenvolvimento e licenciamento de programas de computador customizáveis,18.00,11–50,,https://www.linkedin.com/jobs/view/coordenadora-de-recrutamento-e-sele%25C3%25A7%25C3%25A3o-at-empregare-com-4193507694,,,,,,,,,,,,,[{'job_industry_list': {'industry': 'Software Development'}}],['Human Resources']
Benner,BENNER SISTEMAS S/A,02.288.055/0001-74,0.00,Até 100 mil,Desenvolvimento e licenciamento de programas de computador customizáveis,"1,362.00",1001-5000,São Paulo,https://www.linkedin.com/jobs/view/analista-de-recursos-humanos-business-partner-at-benner-4184970922,,,,,,,,,,,,,[{'job_industry_list': {'industry': 'IT Services and IT Consulting'}}],['Other']
Seu Gil,SEU GIL MARKETPLACE E DISTRIBUICAO DE MEDICAMENTOS LTDA,27.034.535/0001-30,"3,743,030.00",1 – 10 milhões,"Comércio atacadista de mercadorias em geral, sem predominância de alimentos ou de insumos agropecuários",25.00,11–50,"Jarinu, São Paulo",https://www.linkedin.com/jobs/view/analista-de-recursos-humanos-j%25C3%25BAnior-at-seu-gil-4190087231,,,,,,,,,,,,,[{'job_industry_list': {'industry': 'Retail Recyclable Materials & Used Merchandise'}}],['Human Resources']
CDL Cuiabá,CAMARA DE DIRIGENTES LOJISTAS DE CUIABA,03.208.618/0001-30,0.00,Até 100 mil,Atividades de organizações associativas patronais e empresariais,66.00,51–200,"Cuiabá, Mato Grosso",https://www.linkedin.com/jobs/view/estagi%25C3%25A1rio-de-rh-at-cdl-cuiab%25C3%25A1-4187479311,,,,,,,,,,,,,[{'job_industry_list': {'industry': 'Facilities Services'}}],['Human Resources']
CMSL - Consórcio Mineira da Sorte Loteria,CONSORCIO MINEIRA DA SORTE,50.877.411/0001-38,0.00,Até 100 mil,Casas lotéricas,65.00,51–200,"Nova Lima, Minas Gerais",https://www.linkedin.com/jobs/view/analista-de-gente-e-gestao-pl-at-cmsl-cons%25C3%25B3rcio-mineira-da-sorte-loteria-4185542280,,,,,,,,,,,,,[{'job_industry_list': {'industry': 'Entertainment Providers'}}],['Human Resources']
TAGNA Technology,TAGNA TECNOLOGIA DE AUTOMACAO INDUSTRIAL LTDA,10.725.184/0001-00,"201,000.00",100 mil – 1 milhão,Serviços de engenharia,111.00,51–200,"Belo Horizonte, Minas Gerais",https://www.linkedin.com/jobs/view/analista-de-automa%25C3%25A7%25C3%25A3o-pleno-belo-horizonte-at-tagna-technology-4175346797,,,,,,,,,,,,,[{'job_industry_list': {'industry': 'Industrial Machinery Manufacturing'}}],['Engineering and Information Technology']
Panther Segurança,PANTHER SEGURANCA ESPECIALIZADA LTDA,10.956.451/0001-50,"110,000.00",100 mil – 1 milhão,Atividades de monitoramento de sistemas de segurança eletrônico,134.00,51–200,"Jacareí, 12328-410",https://www.linkedin.com/jobs/view/jovem-aprendiz-at-panther-seguran%25C3%25A7a-4173954668,,,,,,,,,,,,,[{'job_industry_list': {'industry': 'Security and Investigations'}}],['Management and Manufacturing']
RV Ímola,R.V. IMOLA TRANSPORTES E LOGISTICA LTDA,05.366.444/0001-69,"24,890,730.00",10 – 100 milhões,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",920.00,501–1000,"Guarulhos, São Paulo",https://www.linkedin.com/jobs/view/assistente-de-recursos-humanos-at-rv-%25C3%25ADmola-4173399888,,,,,,,,,,,,,[{'job_industry_list': {'industry': 'Warehousing and Storage'}}],['Human Resources']
Santê Restaurante,SANTE SAUDAVEL RESTAURANTE LTDA,21.240.165/0001-00,"50,000.00",Até 100 mil,Restaurantes e similares,4.00,0–10,,https://www.linkedin.com/jobs/view/analista-de-rh-at-sant%25C3%25AA-restaurante-4171356753,,,,,,,,,,,,,[{'job_industry_list': {'industry': 'Restaurants'}}],['Human Resources']
PEOPLE RECURSOS HUMANOS,PEOPLE RECURSOS HUMANOS LTDA,03.164.037/0001-43,"5,000.00",Até 100 mil,********,9.00,0–10,,https://www.linkedin.com/jobs/view/4234085788,,,,,,,,,,,,,[{'job_industry_list': {'industry': 'Strategic Management Services'}}],['Human Resources']
Plasvale,PLASVALE COMERCIO ELETRONICO DE ARTIGOS DOMESTICOS LTDA.,76.825.454/0001-63,"3,462,000.00",1 – 10 milhões,Comércio varejista de outros produtos não especificados anteriormente,403.00,201–500,"Gaspar, Santa Catarina",https://www.linkedin.com/jobs/view/analista-de-recrutamento-e-sele%25C3%25A7%25C3%25A3o-%25F0%259F%2591%25A4-at-plasvale-4160495701,,,,,,,,,,,,,[{'job_industry_list': {'industry': 'Plastics Manufacturing'}}],['Human Resources']
Viação Mimo,VIACAO MIMO LTDA,01.274.689/0001-05,"13,500,000.00",10 – 100 milhões,"Transporte rodoviário coletivo de passageiros, sob regime de fretamento, municipal",162.00,51–200,"Várzea Paulista, São Paulo",https://www.linkedin.com/jobs/view/analista-de-recrutamento-e-sele%25C3%25A7%25C3%25A3o-at-via%25C3%25A7%25C3%25A3o-mimo-4166959302,,,,,,,,,,,,,[{'job_industry_list': {'industry': 'Truck Transportation'}}],['Human Resources']
TK Elevator,TK ELEVADORES BRASIL LTDA,90.347.840/0001-18,"259,606,766.00",100 milhões – 1 bilhão,"Fabricação de máquinas, equipamentos e aparelhos para transporte e elevação de pessoas, peças e acessórios","23,108.00",+10000,"Düsseldorf, North Rhine-Westphalia",https://www.linkedin.com/jobs/view/est%25C3%25A1gio-engenharia-el%25C3%25A9trica-d-m-f-at-tk-elevator-4159068929,,,,,,,,,,,,,"[{'job_industry_list': {'industry': 'Utilities'}}, {'job_industry_list': {'industry': 'Machinery Manufacturing'}}, {'job_industry_list': {'industry': 'Machinery Manufacturing, Facilities Services, and Construction'}}]",['Customer Service']
Netglobe Hybrid Workplace,NETGLOBE COMPUTER SERVICE LTDA,03.869.628/0001-16,"1,000,000.00",100 mil – 1 milhão,Comércio varejista especializado de equipamentos de telefonia e comunicação,70.00,51–200,"Campinas, São Paulo",https://www.linkedin.com/jobs/view/auxiliar-administrativo-jur%25C3%25ADdico-at-netglobe-hybrid-workplace-4157227422,,,,,,,,,,,,,[{'job_industry_list': {'industry': 'Consumer Services'}}],"['Administrative', 'Legal']"
ST-One,ST-ONE LTDA,14.238.880/0001-43,"3,000,000.00",1 – 10 milhões,"Fabricação de aparelhos e equipamentos de medida, teste e controle",63.00,51–200,"Curitiba, Paraná",https://www.linkedin.com/jobs/view/sr-software-engineer-python-at-st-one-4149292387,,,,,,,,,,,,,[{'job_industry_list': {'industry': 'Software Development'}}],['Engineering and Information Technology']
Mangels,MANGELS INDUSTRIAL S.A.,61.065.298/0001-02,"171,272,996.67",100 milhões – 1 bilhão,Fabricação de outras peças e acessórios para veículos automotores não especificadas anteriormente,"1,162.00",1001-5000,"Três Corações, Minas Gerais",https://www.linkedin.com/jobs/view/analista-de-recursos-humanos-at-mangels-4139785034,,,,,,,,,,,,,[{'job_industry_list': {'industry': 'Primary Metal Manufacturing'}}],['Human Resources']
BairesDev,OMNIBEES SOLUCOES EM TECNOLOGIA E MARKETING HOTELEIRO LTDA.,60.062.296/0001-05,"300,000.00",100 mil – 1 milhão,"Portais, provedores de conteúdo e outros serviços de informação na internet","3,081.00",1001-5000,"San Francisco, California",https://www.linkedin.com/jobs/view/representante-de-recrutamento-trabalho-remoto-ref%2523265972-at-bairesdev-4140196781,,,,,,,,,,,,,[{'job_industry_list': {'industry': 'IT Services and IT Consulting'}}],['Information Technology']
Estar Bem,"ESTAR BEM INDUSTRIA, COMERCIO E ARMAZENAGEM LTDA",19.741.086/0001-31,"200,000.00",100 mil – 1 milhão,Fabricação de outros produtos alimentícios não especificados anteriormente,374.00,201–500,"Fortaleza, CE",https://www.linkedin.com/jobs/view/estagi%25C3%25A1rio-de-psicologia-at-estar-bem-4126817207,,,,,,,,,,,,,[{'job_industry_list': {'industry': 'Wholesale Food and Beverage'}}],['Human Resources']
Doutor Agora,CLINICAS EXPRESSAS DO BRASIL S/A,23.154.160/0001-90,"588,695.00",100 mil – 1 milhão,Atividade médica ambulatorial com recursos para realização de exames complementares,83.00,51–200,"Belo Horizonte, Minas Gerais",https://www.linkedin.com/jobs/view/psic%25C3%25B3logo-at-doutor-agora-4233364058,,,,,,,,,,,,,[{'job_industry_list': {'industry': 'Nursing Homes and Residential Care Facilities'}}],['Health Care Provider']
Gente Mais,GENTE MAIS CONSULTORIA E TREINAMENTO LTDA,10.905.780/0001-72,"80,000.00",Até 100 mil,Atividades de consultoria em gestão empresarial,29.00,11–50,,https://www.linkedin.com/jobs/view/assistente-recursos-humanos-at-gente-mais-4233359677,,,,,,,,,,,,,[{'job_industry_list': {'industry': 'Strategic Management Services'}}],['Human Resources']
Praso,PRASO PLATAFORMA DE COMERCIO LTDA.,42.434.646/0001-27,"99,458,035.00",10 – 100 milhões,Comércio atacadista de óleos e gorduras,183.00,51–200,Recife,https://www.linkedin.com/jobs/view/analista-de-s-op-at-praso-4233331556,,,,,,,,,,,,,"[{'job_industry_list': {'industry': 'Technology, Information and Internet'}}]",['Business Development and Sales']
Protea Neurodesenvolvimento,PROTEA NEURODESENVOLVIMENTO LTDA,52.347.908/0001-70,"726,589.00",100 mil – 1 milhão,Atividade médica ambulatorial restrita a consultas,91.00,51–200,"Vila Velha, Espírito Santo",https://www.linkedin.com/jobs/view/est%25C3%25A1gio-em-psicologia-grande-vitoria%250Avit%25C3%25B3ria-es%250Aest%25C3%25A1gio-at-protea-neurodesenvolvimento-4233310430,,,,,,,,,,,,,[{'job_industry_list': {'industry': 'Health and Human Services'}}],['Education and Training']
Loja Silicontech,MJ COMERCIO E SERVICOS DE INFORMATICA E TELECOMUNICACOES LTDA,10.285.063/0001-95,"60,000.00",Até 100 mil,Comércio atacadista de equipamentos de informática,40.00,11–50,"Fortaleza, Ceará",https://www.linkedin.com/jobs/view/analista-senior-de-recursos-humanos-at-loja-silicontech-4233194311,,,,,,,,,,,,,[{'job_industry_list': {'industry': 'Retail'}}],['Human Resources']
DrogaVen,DROGA VEN LTDA,63.919.385/0001-05,"8,000.00",Até 100 mil,"Comércio varejista de produtos farmacêuticos, sem manipulação de fórmulas",342.00,201–500,"Araraquara, SP",https://www.linkedin.com/jobs/view/araraquara-est%25C3%25A1gio-em-recursos-humanos-at-drogaven-4233190656,,,,,,,,,,,,,[{'job_industry_list': {'industry': 'Retail'}}],['Human Resources']
SFERA Multifranquias,LVB - LEVI COMERCIO DE ROUPAS LTDA,10.446.876/0001-10,"62,200.00",Até 100 mil,********,160.00,51–200,"Rio de Janeiro, Rio de Janeiro",https://www.linkedin.com/jobs/view/analista-de-recursos-humanos-at-sfera-multifranquias-4233188512,,,,,,,,,,,,,[{'job_industry_list': {'industry': 'Retail'}}],['Human Resources']
Magazine Luiza,MAGAZINE LUIZA S/A,47.960.950/0001-21,"13,802,162,483.70",Acima de 1 bilhão,"Lojas de departamentos ou magazines, exceto lojas francas","40,522.00",+10000,"SAO PAULO, SP",https://www.linkedin.com/jobs/view/4233187920,,,,,,,,,,,,,[{'job_industry_list': {'industry': 'Retail'}}],['Human Resources']
EasyHire,EASY HIRE - GESTAO COMERCIAL E TREINAMENTO PROFISSIONAL LTDA,31.608.841/0001-00,"95,400.00",Até 100 mil,Promoção de vendas,24.00,11–50,,https://www.linkedin.com/jobs/view/analista-de-rh-at-easyhire-4233168687,,,,,,,,,,,,,[{'job_industry_list': {'industry': 'Machinery Manufacturing and Industrial Machinery Manufacturing'}}],['Human Resources']
Ana Couto,AC COMPANY LTDA,05.095.243/0001-74,"122,072.00",100 mil – 1 milhão,Agências de publicidade,184.00,51–200,"Rio de Janeiro, RJ",https://www.linkedin.com/jobs/view/analista-de-experi%25C3%25AAncia-e-sucesso-do-estudante-laje-at-ana-couto-4233150589,,,,,,,,,,,,,[{'job_industry_list': {'industry': 'Education Administration Programs'}}],['Business Development and Sales']
